;Вопрос;Тип обращения;Обращение;Ответ
from_arab;Добрый вечер! Я получил информационное текстовое сообщение о доступе к Wink TV о доступе к 5000 фильмам. Вам нужно как-то подключиться или они действительно подключаются автоматически?;ТВ;"Good afternoon! There was an informational SMS about access to Wink TV about access to 5000 films. Does it need to be connected somehow or is it already connected automatically?
";None
original;Как вернуть обычное телевидение вместо Wink?;ТВ;"How to get regular TV back instead of Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_ang;Как вернуть обычный ТВ вместо Wink?;ТВ;"How to get regular TV back instead of Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_arab;Как восстановить нормальный ТВ вместо подмигивания?;ТВ;"How to get regular TV back instead of Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
original;Как узнать баланс;ТВ;"How to find out the balance
";None
from_ang;Как узнать баланс;ТВ;"How to find out the balance
";None
from_arab;Как узнать баланс;ТВ;"How to find out the balance
";None
original;Скажите пожалуйста, почему на wink есть Лёд 2, а для просмотра не доступен?;ТВ;"Please tell me why there is Ice 2 on wink, but it is not available for viewing?
";https://spb.rt.ru/support/hometv/control/interactive-tv-package-what-is-included
from_ang;Подскажите пожалуйста, почему на подмигивании стоит Ice 2, но он недоступен для просмотра?;ТВ;"Please tell me why there is Ice 2 on wink, but it is not available for viewing?
";https://spb.rt.ru/support/hometv/control/interactive-tv-package-what-is-included
from_arab;Подскажите пожалуйста, почему в мгновение ока есть Ice 2, но он недоступен для просмотра?;ТВ;"Please tell me why there is Ice 2 on wink, but it is not available for viewing?
";https://spb.rt.ru/support/hometv/control/interactive-tv-package-what-is-included
original;Здравствуйте, скажите, пожалуйста, видеосервис wink можно подключить к недорогому маленькому телевизору малоизвестной фирмы?;ТВ;"Hello, please tell me, can the wink video service be connected to an inexpensive small TV of a little-known company?
";https://spb.rt.ru/support/hometv/connect/interactive-tv-connection-technologies
from_ang;Здравствуйте, подскажите пожалуйста, а можно ли подключить видео сервис wink к недорогому маленькому телевизору малоизвестной компании?;ТВ;"Hello, please tell me, can the wink video service be connected to an inexpensive small TV of a little-known company?
";https://spb.rt.ru/support/hometv/connect/interactive-tv-connection-technologies
from_arab;Привет, подскажите пожалуйста, а можно ли подключить wink video сервис к дешевому мини-телевизору неизвестной компании?;ТВ;"Hello, please tell me, can the wink video service be connected to an inexpensive small TV of a little-known company?
";https://spb.rt.ru/support/hometv/connect/interactive-tv-connection-technologies
original;Сколько стоит винк;ТВ;"How much is a vink
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_ang;Сколько стоит винк;ТВ;"How much is a vink
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_arab;Как поживаешь?;ТВ;"How much is a vink
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
original;Здравствуйте. Как на Wink отключить автопродление подписок?;ТВ;"Hello. How do I turn off auto-renewal on Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_ang;Здравствуйте. Как отключить автоматическое продление на Wink?;ТВ;"Hello. How do I turn off auto-renewal on Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_arab;Здравствуй. Как отключить автоматическое продление на Wink?;ТВ;"Hello. How do I turn off auto-renewal on Wink?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
original;Здравствуйте,подскажите, как посмотреть в wink список избранное?;ТВ;"Hello, tell me how to view the list of favorites in wink?
";https://spb.rt.ru/support/hometv/reference-information/user-guides
from_ang;Здравствуйте, подскажите, как в подмигнуть список избранного?;ТВ;"Hello, tell me how to view the list of favorites in wink?
";https://spb.rt.ru/support/hometv/reference-information/user-guides
from_arab;Здравствуйте, подскажите как подмигнуть список избранных?;ТВ;"Hello, tell me how to view the list of favorites in wink?
";https://spb.rt.ru/support/hometv/reference-information/user-guides
original;Как смотреть винк тв на телефоне?;ТВ;"How to watch Vink TV on your phone?
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Как смотреть Винк ТВ на телефоне?;ТВ;"How to watch Vink TV on your phone?
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Как смотреть Винк ТВ на телефоне?;ТВ;"How to watch Vink TV on your phone?
";https://spb.rt.ru/support/hometv/setting/instructions
original;где в кабинете можно посмотреть про Винк;ТВ;"where in the office you can see about Vink
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_ang;где в офисе можно посмотреть про Винка;ТВ;"where in the office you can see about Vink
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_arab;Где можно посмотреть в офисе про Винка;ТВ;"where in the office you can see about Vink
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
original;Здравствуйте, как войти на сервис wink, через телевизор;ТВ;"Hello, how to enter the wink service through the TV
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Здравствуйте, как зайти в сервис подмигивания через ТВ;ТВ;"Hello, how to enter the wink service through the TV
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Эй, как попасть в службу подмигивания по ТВ;ТВ;"Hello, how to enter the wink service through the TV
";https://spb.rt.ru/support/hometv/setting/instructions
original;Здравствуйте услуга Wink что это?;ТВ;"Hello Wink service what is it?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_ang;Сервис Hello Wink, что это такое?;ТВ;"Hello Wink service what is it?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_arab;Привет, сервис это какой?;ТВ;"Hello Wink service what is it?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
original;Добрый день подскажите как воспользоваться wink?;ТВ;"Good afternoon, tell me how to use wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_ang;Добрый день, подскажите как пользоваться wink?;ТВ;"Good afternoon, tell me how to use wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_arab;Добрый вечер, подскажите, как подмигнуть?;ТВ;"Good afternoon, tell me how to use wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
original;Добрый день. Как насстроить Wink на ноутбуке;ТВ;"Good afternoon. How to set up Wink on a laptop
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Добрый день. Как настроить Wink на ноутбуке;ТВ;"Good afternoon. How to set up Wink on a laptop
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Добрый вечер. Как настроить Wink на ноутбуке;ТВ;"Good afternoon. How to set up Wink on a laptop
";https://spb.rt.ru/support/hometv/setting/instructions
original;Как узнать свой логин и пароль?;ТВ;"How to find out your username and password?
";None
from_ang;Как узнать свой логин и пароль?;ТВ;"How to find out your username and password?
";None
from_arab;Как узнать логин и пароль?;ТВ;"How to find out your username and password?
";None
original;Не могу восстановить пароль, что делать?;ТВ;"I can't recover my password, what should I do?
";None
from_ang;Я не могу восстановить свой пароль, что мне делать?;ТВ;"I can't recover my password, what should I do?
";None
from_arab;Я не могу восстановить свой пароль, что мне делать?;ТВ;"I can't recover my password, what should I do?
";None
original;Какую сумму в месяц составляет мой тарифный план?;ТВ;"What is the monthly amount of my tariff plan?
";https://spb.rt.ru/support/hometv/control/current-tariff-plan-for-contract
from_ang;Какая у меня ежемесячная сумма тарифного плана?;ТВ;"What is the monthly amount of my tariff plan?
";https://spb.rt.ru/support/hometv/control/current-tariff-plan-for-contract
from_arab;Какова сумма моего ежемесячного плана?;ТВ;"What is the monthly amount of my tariff plan?
";https://spb.rt.ru/support/hometv/control/current-tariff-plan-for-contract
original;Как изменить формат экрана я не могу пользоваться меню?;ТВ;"How do I change the screen format? I can't use the menu?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Как изменить формат экрана? Я не могу пользоваться меню?;ТВ;"How do I change the screen format? I can't use the menu?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Как я могу изменить формат экрана? Не можете пользоваться меню?;ТВ;"How do I change the screen format? I can't use the menu?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Здравствуйте! Я пользуюсь вашим интернетом и тв wink, переезжаю в другую квартиру и хотела бы, что мне переподключили ваши услуги в новой квартире;ТВ;"Hello! I use your internet and TV wink, move to another apartment and would like to have your services reconnected to me in a new apartment
";https://spb.rt.ru/support/hometv/control/relocation
from_ang;Здравствуйте! Я пользуюсь вашим интернетом и телевизором, перехожу в другую квартиру и хочу, чтобы ваши услуги были подключены ко мне в новой квартире;ТВ;"Hello! I use your internet and TV wink, move to another apartment and would like to have your services reconnected to me in a new apartment
";https://spb.rt.ru/support/hometv/control/relocation
from_arab;Здравствуйте! Я пользуюсь вашим интернетом и телевизором, переезжаю в другую квартиру и хочу, чтобы ваши услуги были подключены ко мне в моей новой квартире;ТВ;"Hello! I use your internet and TV wink, move to another apartment and would like to have your services reconnected to me in a new apartment
";https://spb.rt.ru/support/hometv/control/relocation
original;Добрый день, хочу отключить wink-тв;ТВ;"Good afternoon, I want to turn off wink-tv
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_ang;Добрый день хочу выключить wink-tv;ТВ;"Good afternoon, I want to turn off wink-tv
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_arab;Добрый вечер хочу выключить Wink-tv;ТВ;"Good afternoon, I want to turn off wink-tv
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
original;Добрый день! Есть ли бесплатный пробный wink?;ТВ;"Good afternoon! Is there a free trial wink available?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_ang;Добрый день! Доступна ли бесплатная пробная версия?;ТВ;"Good afternoon! Is there a free trial wink available?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_arab;Добрый вечер! Доступна ли бесплатная пробная версия?;ТВ;"Good afternoon! Is there a free trial wink available?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
original;Мне пришёл код Wink куда его вводить;ТВ;"I received the Wink code where to enter it
";None
from_ang;Я получил код Wink, где его ввести;ТВ;"I received the Wink code where to enter it
";None
from_arab;Я получил код Wink там, где я его ввел;ТВ;"I received the Wink code where to enter it
";None
original;Добрый день. У меня у личном кабинете есть промокод на wink. При попытке его активировать пишет что промокод просрочен.;ТВ;"Good afternoon. I have a promo code for wink in my personal account. When you try to activate it, it says that the promotional code is expired.
";None
from_ang;Добрый день. У меня в личном кабинете есть промокод на подмигивание. При попытке активировать пишет, что срок действия промокода истек.;ТВ;"Good afternoon. I have a promo code for wink in my personal account. When you try to activate it, it says that the promotional code is expired.
";None
from_arab;Добрый вечер. У меня в личном кабинете есть промокод Wink. При попытке активации появляется сообщение о том, что срок действия промокода истек.;ТВ;"Good afternoon. I have a promo code for wink in my personal account. When you try to activate it, it says that the promotional code is expired.
";None
original;Здравствуйте . Подскажите стоимость Wink на год;ТВ;"Hello . Tell me the cost of Wink for a year
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_ang;Здравствуйте . Подскажите стоимость Wink на год;ТВ;"Hello . Tell me the cost of Wink for a year
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_arab;Здравствуйте . Подскажите стоимость Wink на год;ТВ;"Hello . Tell me the cost of Wink for a year
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
original;Здравствуйте. Подскажите пожалуйста за wink tv будет сниматься отдельная плата или нет? Я её скачала на телевизор.;ТВ;"Hello. Can you please tell me if a separate fee will be charged for wink TV or not? I downloaded it to the TV.
";None
from_ang;Здравствуйте. Подскажите, пожалуйста, будет ли взиматься отдельная плата за Wink TV или нет? Скачал на телевизор.;ТВ;"Hello. Can you please tell me if a separate fee will be charged for wink TV or not? I downloaded it to the TV.
";None
from_arab;Здравствуй. Подскажите, будет ли плата за Wink TV отдельно или нет? Загрузите их в телевизор.;ТВ;"Hello. Can you please tell me if a separate fee will be charged for wink TV or not? I downloaded it to the TV.
";None
original;Как отключить wink на телевизоре и вернутся в старый интерфейс?;ТВ;"How do I disable wink on the TV and return to the old interface?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_ang;Как отключить подмигивание на телевизоре и вернуться к старому интерфейсу?;ТВ;"How do I disable wink on the TV and return to the old interface?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
from_arab;Как отключить мерцание телевизора и вернуться к старому интерфейсу?;ТВ;"How do I disable wink on the TV and return to the old interface?
";https://spb.rt.ru/support/hometv/control/temporarily-block-service
original;Здравствуйте. Подскажите что такое Винк?;ТВ;"Hello. Tell me what is Vink?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_ang;Здравствуйте. Подскажите что такое Винк?;ТВ;"Hello. Tell me what is Vink?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
from_arab;Здравствуй. Скажите, какой у вас финк?;ТВ;"Hello. Tell me what is Vink?
";https://spb.rt.ru/support/hometv/connect/what-is-interactive-tv
original;телеканалы услуга платная?;ТВ;"TV channels is the service paid?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_ang;Телеканалы услуга платная?;ТВ;"TV channels is the service paid?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_arab;Платная ли услуга для телеканалов?;ТВ;"TV channels is the service paid?
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
original;Как зайти в Wink?;ТВ;"How do I log into Wink?
";None
from_ang;Как мне войти в Wink?;ТВ;"How do I log into Wink?
";None
from_arab;Как мне войти в Wink?;ТВ;"How do I log into Wink?
";None
original;подскажите пароль для приложения Интерактивное ТВ через мультискрин;ТВ;"prompt password for Interactive TV application via multiscreen
";None
from_ang;запрашивать пароль для приложения Интерактивное ТВ через мультиэкран;ТВ;"prompt password for Interactive TV application via multiscreen
";None
from_arab;Требовать пароль для приложения интерактивного телевидения на нескольких экранах;ТВ;"prompt password for Interactive TV application via multiscreen
";None
original;Здравствуйте! Почему не работает тв и интернет;ТВ;"Hello! Why TV and Internet do not work
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Здравствуйте! Почему не работают ТВ и Интернет;ТВ;"Hello! Why TV and Internet do not work
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Здравствуйте! Почему не работает ТВ и Интернет;ТВ;"Hello! Why TV and Internet do not work
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Можно вызвать специалиста техподдержки. Не работает одна из приставок.;ТВ;"You can call a technical support specialist. One of the attachments does not work.
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Вы можете позвонить специалисту техподдержки. Одно из вложений не работает.;ТВ;"You can call a technical support specialist. One of the attachments does not work.
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Вы можете обратиться к специалисту технической поддержки. Вложение не работает.;ТВ;"You can call a technical support specialist. One of the attachments does not work.
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Где взять логин для входа в приложение винк?;ТВ;"Where can I get a login to enter the Vink app?
";None
from_ang;Где взять логин для входа в приложение Винк?;ТВ;"Where can I get a login to enter the Vink app?
";None
from_arab;Где я могу получить данные для входа в приложение Vink?;ТВ;"Where can I get a login to enter the Vink app?
";None
original;Здравствуйте. Отсутсвует интернет и iptv. Индикатор dsl не горит. Перезагрузка роутера не помогла;ТВ;"Hello. There is no internet and iptv. The dsl indicator is off. Rebooting the router did not help
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Здравствуйте. Нет интернета и iptv. Индикатор DSL не горит. Перезагрузка роутера не помогла;ТВ;"Hello. There is no internet and iptv. The dsl indicator is off. Rebooting the router did not help
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Здравствуй. Нет интернета и iptv. Индикатор DSL не горит. Перезагрузка роутера не помогла;ТВ;"Hello. There is no internet and iptv. The dsl indicator is off. Rebooting the router did not help
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Здравствуйте, как теперь в приложении посмотреть остаток по пакетам на мобильной связи?;Мобильная связь;"Hello, how now in the application to see the balance of packages on a mobile connection?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Здравствуйте, а как теперь посмотреть остальные пакеты по мобильному подключению в приложении?;Мобильная связь;"Hello, how now in the application to see the balance of packages on a mobile connection?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Здравствуйте, как теперь посмотреть в приложении остаток пакетов на мобильной связи?;Мобильная связь;"Hello, how now in the application to see the balance of packages on a mobile connection?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Добрый вечер я сегодня вместо счета положил на мобильную связь, как перевести деньги на счет;Мобильная связь;"Good evening, today, instead of an account, I put it on a mobile connection, how to transfer money to an account
";None
from_ang;Добрый вечер, сегодня вместо аккаунта поставил мобильную связь, как перевести деньги на счет;Мобильная связь;"Good evening, today, instead of an account, I put it on a mobile connection, how to transfer money to an account
";None
from_arab;Добрый вечер, сегодня вместо аккаунта поставил на мобильную связь, как перевести деньги на счет;Мобильная связь;"Good evening, today, instead of an account, I put it on a mobile connection, how to transfer money to an account
";None
original;Здравствуйте.! Пытаюсь, после того, как слетели все настройки в приложении, привязать мобильную связь. Код подтверждения не приходит;Мобильная связь;"Hello.! I am trying, after all the settings in the application have disappeared, to bind the mobile connection. Verification code does not come
";https://spb.rt.ru/support/mobile/control/services
from_ang;Здравствуйте.! Пытаюсь после того, как все настройки в приложении пропали, подключить мобильную связь. Код подтверждения не приходит;Мобильная связь;"Hello.! I am trying, after all the settings in the application have disappeared, to bind the mobile connection. Verification code does not come
";https://spb.rt.ru/support/mobile/control/services
from_arab;Здравствуй.! Я пытаюсь, после того как в приложении пропали все настройки, подключить мобильное соединение. Код подтверждения не приходит;Мобильная связь;"Hello.! I am trying, after all the settings in the application have disappeared, to bind the mobile connection. Verification code does not come
";https://spb.rt.ru/support/mobile/control/services
original;Хочу посоветоваться с ВАМИ и выбрать трафик для модема для домашнего компьютера;Мобильная связь;"I want to consult with YOU and choose traffic for a modem for a home computer
";None
from_ang;Хочу с вами посоветоваться и подобрать трафик для модема для домашнего компьютера;Мобильная связь;"I want to consult with YOU and choose traffic for a modem for a home computer
";None
from_arab;Хочу с вами посоветоваться и подобрать трафик для модема для домашнего компьютера;Мобильная связь;"I want to consult with YOU and choose traffic for a modem for a home computer
";None
original;Прошу осуществить переход мобильной связи на РосТелеком с декабря 2020 г.;Мобильная связь;"I ask you to transfer mobile communications to RosTelecom from December 2020.
";https://spb.rt.ru/support/mobile/connect/become-client-rostelecom
from_ang;Пожалуйста, перенесите мобильную связь на Ростелеком с декабря 2020 года.;Мобильная связь;"I ask you to transfer mobile communications to RosTelecom from December 2020.
";https://spb.rt.ru/support/mobile/connect/become-client-rostelecom
from_arab;Прошу передать подключение мобильной связи к Ростелеком с декабря 2020 года.;Мобильная связь;"I ask you to transfer mobile communications to RosTelecom from December 2020.
";https://spb.rt.ru/support/mobile/connect/become-client-rostelecom
original;Добрый день! Сколько по времени занимает перенос номера?;Мобильная связь;"Good afternoon! How long does it take to transfer a number?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Добрый вечер! Сколько времени нужно, чтобы передать номер?;Мобильная связь;"Good afternoon! How long does it take to transfer a number?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Добрый вечер! Сколько времени нужно, чтобы передать номер?;Мобильная связь;"Good afternoon! How long does it take to transfer a number?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Как мне узнать остаток трафика ?;Мобильная связь;"How can I find out the remaining traffic?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Как я могу узнать оставшийся трафик?;Мобильная связь;"How can I find out the remaining traffic?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Как я могу узнать оставшийся трафик?;Мобильная связь;"How can I find out the remaining traffic?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Как посмотреть сколько дней осталось до окончания интернета;Мобильная связь;"How to see how many days are left until the end of the Internet
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Как узнать, сколько дней осталось до конца интернета;Мобильная связь;"How to see how many days are left until the end of the Internet
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Как посмотреть, сколько дней осталось до конца интернета;Мобильная связь;"How to see how many days are left until the end of the Internet
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Здравствуйте! я ошибся при оплате и ввёл номер счета сим карты а не интернета. можно как-то перевести деньги на другой счет?;Мобильная связь;"Hello! I made a mistake when paying and entered the account number of the SIM card and not the Internet. can I somehow transfer money to another account?
";None
from_ang;Здравствуйте! Я ошибся при оплате и ввел номер счёта сим карты, а не интернета. Могу ли я как-то перевести деньги на другой счет?;Мобильная связь;"Hello! I made a mistake when paying and entered the account number of the SIM card and not the Internet. can I somehow transfer money to another account?
";None
from_arab;Здравствуйте! Я ошибся при оплате и ввел номер счёта сим-карты, а не интернета. Могу ли я как-то перевести деньги на другой счет?;Мобильная связь;"Hello! I made a mistake when paying and entered the account number of the SIM card and not the Internet. can I somehow transfer money to another account?
";None
original;Здравствуйте, не могу подключиться с ноутбука, пишет - доступ в интернет заблокирован, хотя я только что пополнил баланс и использую вай-фай с телефона;Мобильная связь;"Hello, I can not connect from my laptop, writes - Internet access is blocked, although I just replenished my balance and use Wi-Fi from my phone
";https://spb.rt.ru/support/mobile/setting/settings-mobile-internet
from_ang;Привет, не могу позвонить с ноутбука, пишет - доступ в интернет заблокирован, хотя я только что пополнил баланс и использовал Wi-Fi с телефона;Мобильная связь;"Hello, I can not connect from my laptop, writes - Internet access is blocked, although I just replenished my balance and use Wi-Fi from my phone
";https://spb.rt.ru/support/mobile/setting/settings-mobile-internet
from_arab;Эй, не могу позвонить с ноутбука, пишет - доступ в интернет заблокирован, хотя я только что пополнил баланс и использовал Wi-Fi со своего телефона;Мобильная связь;"Hello, I can not connect from my laptop, writes - Internet access is blocked, although I just replenished my balance and use Wi-Fi from my phone
";https://spb.rt.ru/support/mobile/setting/settings-mobile-internet
original;Когда деньги с сим попадут на этот ЛС? И увижу ли я симкарту здесь в кабинете?;Мобильная связь;"When will the money from the SIM go to this PM? And will I see a sim card here in the office?
";None
from_ang;Когда в этот личку идут деньги с симки? Увижу ли я здесь в офисе сим-карту?;Мобильная связь;"When will the money from the SIM go to this PM? And will I see a sim card here in the office?
";None
from_arab;Когда в этот личку идут деньги с сим карты? Увижу ли я здесь в офисе сим-карту?;Мобильная связь;"When will the money from the SIM go to this PM? And will I see a sim card here in the office?
";None
original;Здравствуйте. Подключите, пожалуйста, отказ от рекламы по телефону;Мобильная связь;"Hello. Connect, please, opt out of advertising by phone
";None
from_ang;Здравствуйте. Продолжайте, удалите рекламу с телефона;Мобильная связь;"Hello. Connect, please, opt out of advertising by phone
";None
from_arab;Здравствуй. Продолжайте, пожалуйста, снимите с телефона объявление;Мобильная связь;"Hello. Connect, please, opt out of advertising by phone
";None
original;Можно ли удалённо перенести номер другого оператора в Ростелеком?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_ang;Можно ли удаленно передать Ростелекому номер другого оператора?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
from_arab;Можно ли удаленно передать Ростелекому номер другого оператора?;Мобильная связь;"Is it possible to remotely transfer the number of another operator to Rostelecom?
";https://spb.rt.ru/support/mobile/connect/transition-rostelecom-with-your-number
original;Здравствуйте! Скажите пожалуйста если я в Крым позвоню у меня за минуты будет звонок идти или как?;Мобильная связь;"Hello! Please tell me if I call in Crimea, will the call go in minutes or what?
";None
from_ang;Здравствуйте! Подскажите, пожалуйста, в Крым звонили, минутки звонили что ли?;Мобильная связь;"Hello! Please tell me if I call in Crimea, will the call go in minutes or what?
";None
from_arab;Здравствуйте! Скажите, пожалуйста, звонил ли я в Крым, звонили минуты или как?;Мобильная связь;"Hello! Please tell me if I call in Crimea, will the call go in minutes or what?
";None
original;Как узнать баланс на мобильном wifi роутере?;Мобильная связь;"How to find out the balance on a mobile wifi router?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Как узнать баланс портативного Wi-Fi роутера?;Мобильная связь;"How to find out the balance on a mobile wifi router?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Как узнать баланс портативного Wi-Fi роутера?;Мобильная связь;"How to find out the balance on a mobile wifi router?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Как узнать остаток по пакету сим карты;Мобильная связь;"How to find out the balance of a SIM card package
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Как узнать остаток на упаковке SIM-карты;Мобильная связь;"How to find out the balance of a SIM card package
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Как узнать остаток пакета SIM-карты;Мобильная связь;"How to find out the balance of a SIM card package
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;как настроить переадресацию с рабочего телефона на мобильный;Мобильная связь;"how to set up call forwarding from work phone to mobile
";None
from_ang;Как настроить переадресацию звонков с рабочего телефона на мобильный;Мобильная связь;"how to set up call forwarding from work phone to mobile
";None
from_arab;Как настроить переадресацию звонков с рабочего телефона на мобильный;Мобильная связь;"how to set up call forwarding from work phone to mobile
";None
original;добрый день, у меня есть сим карта Ростелеком, как узнать номер телефона?;Мобильная связь;"Good afternoon, I have a Rostelecom SIM card, how do I find out my phone number?
";https://spb.rt.ru/support/mobile/reference-information/self-service
from_ang;Добрый вечер, у меня есть сим-карта от Ростелеком, как узнать номер телефона?;Мобильная связь;"Good afternoon, I have a Rostelecom SIM card, how do I find out my phone number?
";https://spb.rt.ru/support/mobile/reference-information/self-service
from_arab;Добрый вечер, у меня есть сим-карта от Ростелеком, как узнать номер телефона?;Мобильная связь;"Good afternoon, I have a Rostelecom SIM card, how do I find out my phone number?
";https://spb.rt.ru/support/mobile/reference-information/self-service
original;Добрый день! Как узнать остаток минут на счете?;Мобильная связь;"Good afternoon! How to find out the balance of minutes on the account?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Добрый вечер! Как я могу узнать остаток минут на счете?;Мобильная связь;"Good afternoon! How to find out the balance of minutes on the account?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Добрый вечер! Как я могу узнать остаток минут на счете?;Мобильная связь;"Good afternoon! How to find out the balance of minutes on the account?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Здравствуй как узнать баланс сим карты;Мобильная связь;"Hello, how to find out the balance of the SIM card
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Здравствуйте, как узнать баланс сим карты;Мобильная связь;"Hello, how to find out the balance of the SIM card
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Здравствуйте, как узнать баланс сим карты;Мобильная связь;"Hello, how to find out the balance of the SIM card
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Здравствйте!я не могу поверить остаток трафика!?;Мобильная связь;"Hello! I can't believe the rest of the traffic !?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_ang;Здравствуйте! Не верится остальному трафику !?;Мобильная связь;"Hello! I can't believe the rest of the traffic !?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
from_arab;Здравствуйте! Не верится остальному трафику !?;Мобильная связь;"Hello! I can't believe the rest of the traffic !?
";https://spb.rt.ru/support/mobile/payment/balance-and-payment
original;Сколько стоят звонки на мобильные телефоны с домашнего телефона? У нас тариф безлимитный.;Мобильная связь;"How much do calls to mobile phones from a home phone cost? We have an unlimited tariff.
";https://spb.rt.ru/mobile/mobile_tariff
